,director_name,genres,actor_1_name,movie_title,imdb_score,plot_keywords,plot_keywords_vector,movie_id
0,James Cameron,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,Avatar ,7.9,avatar|future|marine|native|paraplegic,"  (0, 3929)	0.5255118721093345
  (0, 3633)	0.4505378279144399
  (0, 3303)	0.4182805306578317
  (0, 2208)	0.33408103825550595
  (0, 447)	0.48402912664529496",
1,Gore Verbinski,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End ,7.1,goddess|marriage ceremony|marriage proposal|pirate|singapore,"  (0, 4914)	0.4140717711081904
  (0, 4269)	0.3655808843598682
  (0, 4069)	0.32281656768603584
  (0, 3311)	0.5010467730528197
  (0, 2305)	0.3888172353221523
  (0, 978)	0.43411742388342855",
2,Sam Mendes,Action|Adventure|Thriller,Christoph Waltz,Spectre ,6.8,bomb|espionage|sequel|spy|terrorist,"  (0, 5429)	0.41306822696126777
  (0, 5107)	0.424913103426741
  (0, 4791)	0.4213295472444972
  (0, 1886)	0.5197337383413241
  (0, 682)	0.44853288425691756",
3,Christopher Nolan,Action|Thriller,Tom Hardy,The Dark Knight Rises ,8.5,deception|imprisonment|lawlessness|police officer|terrorist plot,"  (0, 5429)	0.3076412384552491
  (0, 4127)	0.239278884134743
  (0, 4107)	0.3870826185459525
  (0, 3782)	0.33597385888272613
  (0, 3060)	0.48033606938111356
  (0, 2722)	0.4302129613954971
  (0, 1481)	0.41180719381141195",
5,Andrew Stanton,Action|Adventure|Sci-Fi,Daryl Sabara,John Carter ,6.6,alien|american civil war|male nipple|mars|princess,,
6,Sam Raimi,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 ,6.2,sandman|spider man|symbiote|venom|villain,,
7,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled ,7.8,17th century|based on fairy tale|disney|flower|tower,,
8,Joss Whedon,Action|Adventure|Sci-Fi,Chris Hemsworth,Avengers: Age of Ultron ,7.5,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,,
9,David Yates,Adventure|Family|Fantasy|Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince ,7.5,blood|book|love|potion|professor,,
10,Zack Snyder,Action|Adventure|Sci-Fi,Henry Cavill,Batman v Superman: Dawn of Justice ,6.9,based on comic book|batman|sequel to a reboot|superhero|superman,,
